iter	Quantile:alpha=0.9
0	5022.142855
1	4856.857138
2	4663.682135
3	4616.738295
4	4564.17781
5	4455.212794
6	4305.816143
7	4184.922188
8	4181.833533
9	4074.523881
10	4009.808537
11	3900.887476
12	3757.099815
13	3659.373673
14	3608.802004
15	3517.356088
16	3460.836055
17	3390.269853
18	3308.009569
19	3233.813243
20	3163.282453
21	3105.529976
22	3092.830781
23	3038.619847
24	2940.600675
25	2886.951329
26	2817.269604
27	2770.790309
28	2711.133794
29	2616.604003
30	2558.423864
31	2557.25983
32	2490.35233
33	2406.085257
34	2353.982189
35	2309.95148
36	2302.104455
37	2270.945727
38	2245.105959
39	2174.734299
40	2173.536263
41	2172.39813
42	2114.723692
43	2088.301574
44	2030.287251
45	1997.104561
46	1958.792055
47	1927.621538
48	1926.772624
49	1900.901719
50	1868.704048
51	1840.436912
52	1814.529612
53	1805.784729
54	1770.239661
55	1753.446397
56	1736.281102
57	1726.069137
58	1693.6477
59	1665.970441
60	1643.454395
61	1627.651524
62	1606.849141
63	1589.572679
64	1549.504316
65	1523.037984
66	1518.516867
67	1495.375455
68	1460.163291
69	1423.419764
70	1406.375293
71	1401.996482
72	1371.398474
