iter	Passed	Remaining
0	0	277
1	0	227
2	0	224
3	0	208
4	0	194
5	1	186
6	1	184
7	1	185
8	1	170
9	1	169
10	1	173
11	2	168
12	2	167
13	2	170
14	2	164
15	2	163
16	2	158
17	2	158
18	3	157
19	3	156
20	3	158
21	3	157
22	3	154
23	3	153
24	3	153
25	4	153
26	4	156
27	4	154
28	4	152
29	4	152
30	4	152
31	4	148
32	5	150
33	5	152
34	5	152
35	5	152
36	5	150
37	5	149
38	6	150
39	6	150
40	6	147
41	6	144
42	6	144
43	6	143
44	6	143
45	6	143
46	7	143
47	7	143
48	7	141
49	7	141
50	7	140
51	7	141
52	7	140
53	8	140
54	8	139
55	8	139
56	8	139
57	8	139
58	8	139
59	9	141
60	9	141
61	9	141
62	9	141
63	9	141
64	9	141
65	9	141
66	10	141
67	10	141
68	10	142
69	10	144
70	11	144
71	11	143
72	11	144
